age,gender,weight_kg,height_cm,activity_level,goal,sleep_hours,phone_before_sleep,meals_per_day,junk_food_per_week,water_l_per_day,fruit_veg_servings,stress_score,daily_calorie_need,sleep_quality,diet_score,diet_quality,height_m,bmi,bmr,activity_mult,goal_num,phone_sleep_ratio,diet_score_v2,gender_num,sleep_label,diet_label
47,female,70.1,172.6,sedentary,maintain,6.5,21.61942843623194,5,2,1.7,0,2.1389872349765366,1675,avg,-1,poor,1.726,23.53078605581059,1383.75,1.2,0,3.3260654015640827,-1,0,0,2
32,female,53.0,180.3,moderate,maintain,9.4,15.693243759222597,3,3,2.56,2,1.8418350280485785,2098,good,0,poor,1.8030000000000002,16.30363395696271,1335.875,1.55,0,1.6694938393328467,0,0,1,2
47,male,81.7,174.1,moderate,gain,9.1,37.032539039054704,4,3,2.16,4,1.57322105030859,2887,good,2,avg,1.7409999999999999,26.954080079021317,1675.125,1.55,1,4.069509337312678,2,1,1,0
36,female,66.8,167.1,active,gain,7.1,30.24214881886112,2,0,1.41,2,2.447574457023347,2570,avg,2,avg,1.671,23.923436408246992,1371.375,1.725,1,4.259456980197767,2,0,0,0
29,female,53.3,174.6,sedentary,lose,8.6,12.665434506769609,2,2,1.98,1,2.7016893859779705,1089,good,0,poor,1.746,17.483916764747175,1318.25,1.2,-1,1.4727247714005627,0,0,1,2
40,male,86.2,166.8,light,lose,6.5,51.9399247989315,3,0,1.99,2,1.0,1867,avg,3,good,1.6680000000000001,30.98240831794995,1709.5,1.375,-1,7.9907564320269335,3,1,0,1
37,female,95.2,173.7,active,lose,5.1,60.699390881395445,3,1,2.77,4,2.092044563026853,2545,poor,4,good,1.7369999999999999,31.552756905562802,1691.625,1.725,-1,11.9018390155993,4,0,2,1
49,female,69.5,182.6,moderate,maintain,7.7,64.69805122984748,3,1,0.95,2,3.413445986127124,2111,good,1,avg,1.8259999999999998,20.84410528702483,1430.25,1.55,0,8.4023432243512,1,0,1,0
42,male,95.9,151.3,sedentary,lose,7.5,43.79402160109915,2,2,2.02,4,3.224463031155808,1660,avg,3,good,1.5130000000000001,41.89293145241788,1699.625,1.2,-1,5.839202101586274,3,1,0,1
20,male,71.1,177.2,light,gain,5.8,12.47332985503444,2,0,2.32,2,4.470052333737284,2615,poor,3,good,1.7719999999999998,22.643427482433037,1723.5,1.375,1,2.150573742148396,3,1,2,1
22,male,65.4,156.1,active,maintain,5.8,0.0,4,4,1.12,2,3.7170233841536993,2650,poor,-2,poor,1.561,26.839346810734593,1524.625,1.725,0,0.0,-2,1,2,2
36,female,62.4,181.1,light,maintain,8.2,0.0,3,2,1.21,0,1.0,2088,good,-2,poor,1.811,19.02600861475717,1414.875,1.375,0,0.0,-2,0,1,2
24,male,89.6,164.3,active,maintain,4.8,55.82787003870944,4,2,1.84,3,3.2729946477990564,3066,poor,2,avg,1.643,33.1919588034447,1807.875,1.725,0,11.630803834980334,2,1,2,0
38,male,60.6,159.0,light,gain,7.7,34.864224737648804,4,2,1.06,2,2.862386890304643,2141,good,0,poor,1.59,23.97057078438353,1414.75,1.375,1,4.527820806471168,0,1,1,2
26,male,78.8,176.3,sedentary,lose,6.6,19.52710630352007,3,3,1.66,4,2.486473290617394,1762,avg,2,avg,1.7630000000000001,25.352546788800733,1764.875,1.2,-1,2.9586520219497046,2,1,0,0
24,female,63.3,173.3,sedentary,maintain,7.7,0.0,5,1,1.57,3,1.0661474349042122,1589,good,3,good,1.733,21.076892699969928,1435.125,1.2,0,0.0,3,0,1,1
35,male,64.5,161.0,sedentary,maintain,8.3,0.4224668268460867,2,3,2.54,3,3.117148945415765,1876,good,1,avg,1.61,24.883299255429957,1481.25,1.2,0,0.05089961155981628,1,1,1,0
21,female,82.4,158.7,sedentary,maintain,5.9,0.0,5,0,2.09,1,1.5630109806010242,1911,poor,2,avg,1.587,32.716991275601345,1549.875,1.2,0,0.0,2,0,2,0
42,female,65.4,168.3,active,maintain,5.5,66.04763177998399,2,0,2.94,1,1.747675817334614,2297,poor,2,avg,1.683,23.089233532769235,1334.875,1.725,0,12.008658140241064,2,0,2,0
45,male,65.1,159.2,moderate,lose,8.9,45.89242654346641,2,1,2.32,2,3.5434625819212138,1846,good,2,avg,1.5919999999999999,25.68590439635363,1426.0,1.55,-1,5.156451841237592,2,1,1,0
31,female,83.6,160.4,moderate,maintain,6.9,0.0,2,0,2.86,4,3.0569786925632534,2346,avg,5,good,1.604,32.493579020030964,1522.5,1.55,0,0.0,5,0,0,1
35,female,89.2,171.0,moderate,gain,7.4,70.87673957368948,3,1,1.82,2,2.4574088336701383,2818,avg,2,avg,1.71,30.50511268424473,1624.75,1.55,1,9.577936485912566,2,0,0,0
43,male,77.7,161.3,light,lose,8.2,11.946435275798589,3,0,3.12,4,1.8669368894612708,1862,good,5,good,1.6130000000000002,29.864296176947292,1575.125,1.375,-1,1.4568821730385875,5,1,1,1
26,female,62.1,173.8,sedentary,maintain,5.8,38.73199398698623,3,0,1.08,5,2.515486604899382,1583,poor,5,good,1.7380000000000002,20.558529902894875,1416.25,1.2,0,6.677928846389205,5,0,2,1
43,male,63.9,183.4,active,lose,8.2,38.79048330363125,2,2,0.42,3,4.314464703753176,2370,good,1,avg,1.834,18.997751189514904,1575.25,1.725,-1,4.730546167449401,1,1,1,0
38,female,71.0,168.7,light,maintain,7.8,27.652316204867116,3,1,1.73,0,4.557319859050296,2037,good,0,poor,1.6869999999999998,24.94756618923116,1413.375,1.375,0,3.5451682897049777,0,0,1,2
19,female,73.9,171.2,light,maintain,8.9,22.422702507693774,4,1,3.13,2,2.957967297298701,2042,good,2,avg,1.712,25.213719538824357,1553.0,1.375,0,2.5194044930662116,2,0,1,0
37,male,58.1,188.2,very_active,maintain,8.9,30.849865149433437,5,2,2.63,3,1.63412049060337,3142,good,2,avg,1.882,16.403514022322334,1577.25,1.9,0,3.4662765936131286,2,1,1,0
45,male,78.7,159.3,light,maintain,7.1,23.00051906265833,4,4,1.58,2,5.0,2014,avg,-1,poor,1.5930000000000002,31.01295726871604,1562.625,1.375,0,3.2395092708660647,-1,1,0,2
32,female,71.0,180.7,active,lose,8.0,36.22748712987265,2,3,1.06,4,2.7894861957314667,2182,good,1,avg,1.807,21.74413038638095,1518.375,1.725,-1,4.528435325179666,1,0,1,0
45,female,49.4,179.6,active,maintain,7.1,37.21964348701954,3,0,0.49,2,1.6656826958485302,2052,avg,2,avg,1.796,15.314904191943493,1230.5,1.725,0,5.242202569692531,2,0,0,0
24,male,58.9,177.7,sedentary,maintain,7.2,16.894368093459914,4,0,1.85,0,2.477998105245066,2031,avg,1,avg,1.777,18.652645619684275,1584.625,1.2,0,2.3464396870861424,1,1,0,0
29,female,64.0,181.6,sedentary,lose,5.5,57.53112950123274,5,2,1.52,2,3.145452632987773,1414,poor,1,avg,1.8159999999999998,19.406547769217337,1469.0,1.2,-1,10.460203462005323,1,0,2,0
46,female,69.1,172.5,very_active,maintain,6.7,9.074079057669987,2,1,2.36,3,3.518129699682161,2749,avg,3,good,1.725,23.222012182314636,1378.125,1.9,0,1.3543399557209002,3,0,0,1
25,female,92.7,164.8,light,lose,4.7,39.75502825062513,2,1,2.7,5,2.461919070637724,1954,poor,5,good,1.6480000000000001,34.13228155339805,1671.0,1.375,-1,8.458514849385166,5,0,2,1
32,female,72.9,179.9,sedentary,gain,6.8,21.515556483412844,4,2,1.94,3,1.8763999447118949,2074,avg,2,avg,1.7990000000000002,22.52502084877615,1532.375,1.2,1,3.164051958729542,2,0,0,0
20,male,59.9,180.2,light,lose,8.7,8.275171735903594,2,2,1.23,3,4.73130047142186,1907,good,1,avg,1.8019999999999998,18.446639016212103,1630.25,1.375,-1,0.9511690557166138,1,1,1,0
31,male,72.6,179.9,moderate,maintain,8.0,23.06454487087544,4,3,2.17,0,1.9483793926617845,2524,good,-2,poor,1.7990000000000002,22.432325289727686,1700.375,1.55,0,2.8830677484759617,-2,1,1,2
34,male,65.8,170.4,moderate,lose,7.1,13.479297741371347,3,3,2.88,0,5.0,2046,avg,-2,poor,1.704,22.661398752452115,1558.0,1.55,-1,1.8984923722364755,-2,1,0,2
21,male,73.9,163.6,active,maintain,6.7,46.468273313172816,2,0,2.16,5,1.0,2766,avg,6,good,1.636,27.61072686079113,1661.5,1.725,0,6.93556214591204,6,1,0,1
35,male,77.0,171.7,active,maintain,6.3,27.636197638056085,4,0,1.95,0,4.191817745802505,2864,avg,1,avg,1.7169999999999999,26.118614465167102,1673.125,1.725,0,4.386697341485515,1,1,0,0
25,male,84.5,178.5,active,maintain,5.8,64.23047266913694,3,2,1.34,1,2.8832443453254,3138,poor,-1,poor,1.785,26.52041208640319,1840.625,1.725,0,11.074217516365419,-1,1,2,2
21,female,69.7,179.2,sedentary,maintain,8.1,6.214721135601941,5,1,2.8,5,2.6923764686112213,1854,good,5,good,1.7919999999999998,21.704848931760207,1551.0,1.2,0,0.7672494281916684,5,0,1,1
19,male,89.7,166.1,moderate,lose,5.0,0.0,4,1,2.18,3,1.0,2410,poor,3,good,1.661,32.51271058504394,1845.125,1.55,-1,0.0,3,1,2,1
47,female,80.9,172.8,sedentary,lose,5.0,39.86897039406156,5,1,1.85,3,3.103073809723189,1342,poor,3,good,1.7280000000000002,27.093246313443068,1493.0,1.2,-1,7.973792484053815,3,0,2,1
23,female,61.5,158.2,sedentary,gain,8.2,73.06598799578848,5,2,1.67,0,3.979307323911219,1888,good,-1,poor,1.5819999999999999,24.57322501402472,1327.75,1.2,1,8.910485254305273,-1,0,1,2
39,female,96.5,178.9,active,maintain,7.3,42.21989344156684,2,0,2.06,1,2.667814031586261,2856,avg,2,avg,1.7890000000000001,30.151340984795908,1727.125,1.725,0,5.783546254523368,2,0,0,0
27,male,73.9,163.0,light,maintain,7.1,6.439772573917306,4,1,0.88,5,4.223847060194078,2177,avg,4,good,1.63,27.81437013060334,1627.75,1.375,0,0.9070100939305933,4,1,0,1
21,female,60.0,177.1,active,gain,7.3,4.4269938440669705,3,1,0.56,5,2.6500592612243974,2705,avg,4,good,1.771,19.129962910190248,1440.875,1.725,1,0.6064374298122659,4,0,0,1
39,male,89.8,159.7,sedentary,lose,9.6,80.64583060557402,4,0,1.49,1,2.4046123840816778,1651,good,1,avg,1.597,35.21003886043376,1706.125,1.2,-1,8.40060647968412,1,1,1,0
46,female,94.9,179.3,active,maintain,7.1,20.51548886243412,4,1,2.53,0,2.4782372721297325,2893,avg,0,poor,1.7930000000000001,29.51927135613523,1678.625,1.725,0,2.8895050666097255,0,0,0,2
48,female,69.6,172.9,sedentary,lose,7.4,4.627355455928139,2,4,1.43,1,2.6622130012375744,1186,avg,-3,poor,1.729,23.281944684641708,1375.625,1.2,-1,0.6253182203526917,-3,0,0,2
35,male,64.0,163.0,sedentary,lose,9.7,59.76049300899454,2,2,1.94,0,2.7937558525507007,1374,good,-1,poor,1.63,24.088223117166624,1488.75,1.2,-1,6.160874932795837,-1,1,1,2
43,female,67.9,176.2,light,lose,6.9,26.31917129442708,3,1,2.18,3,2.609450351535135,1484,avg,3,good,1.7619999999999998,21.870462442714857,1404.25,1.375,-1,3.8143720985586924,3,0,0,1
29,female,78.6,164.7,light,gain,9.2,0.0,2,3,1.76,2,2.6705358845036966,2324,good,0,poor,1.6469999999999998,28.97579415241932,1509.375,1.375,1,0.0,0,0,1,2
19,female,85.3,176.7,light,maintain,4.3,82.07242845341848,3,2,0.35,3,3.508823389593124,2263,poor,1,avg,1.767,27.31970038647928,1701.375,1.375,0,19.086606829491082,1,0,2,0
27,female,76.8,167.5,active,lose,5.5,44.610162258050686,3,1,2.34,3,4.374850407470655,2121,poor,3,good,1.675,27.373579861884604,1518.875,1.725,-1,8.110937117657013,3,0,2,1
47,male,71.2,154.5,moderate,lose,6.1,0.0,3,0,3.75,4,2.851502444702281,1789,avg,5,good,1.545,29.827923880143697,1447.625,1.55,-1,0.0,5,1,0,1
21,female,88.0,161.2,light,lose,7.8,64.89479763159854,4,2,1.12,3,2.932935798283552,1844,good,1,avg,1.6119999999999999,33.8651183124088,1621.5,1.375,-1,8.319844783558173,1,0,1,0
31,female,66.2,166.1,sedentary,gain,9.3,3.8041709958437337,5,5,2.67,4,3.711630684201948,1907,good,0,poor,1.661,23.99488785652072,1384.125,1.2,1,0.4090506007304444,0,0,1,2
48,male,82.4,182.3,light,maintain,6.2,2.299292451877413,5,1,0.54,1,3.65887982906144,2357,avg,0,poor,1.8230000000000002,24.79441547917765,1728.375,1.375,0,0.37085356145545995,0,1,0,2
33,female,66.5,178.1,light,gain,8.3,7.706349427125062,2,0,2.77,0,2.951924784513833,2179,good,1,avg,1.781,20.96494881242235,1452.125,1.375,1,0.928475722728836,1,0,1,0
32,female,75.2,184.6,moderate,gain,9.9,78.48768572893297,4,3,0.5,1,3.971234477787715,2648,good,-2,poor,1.8459999999999999,22.06756666341914,1584.75,1.55,1,7.9280482627156275,-2,0,1,2
25,female,68.6,184.9,light,gain,9.0,81.13541135055125,4,2,2.09,5,3.050602095928612,2326,good,4,good,1.849,20.065514196351295,1555.625,1.375,1,9.015044703945172,4,0,1,1
31,female,69.3,165.2,moderate,lose,6.5,16.30145972767036,5,3,2.03,1,3.083531329676686,1816,avg,-1,poor,1.652,25.392949480855258,1409.5,1.55,-1,2.5079164953467483,-1,0,0,2
40,male,65.5,168.3,sedentary,lose,8.1,72.64047594461164,5,1,2.64,2,3.0484072073045496,1338,good,2,avg,1.683,23.124538171198544,1511.875,1.2,-1,8.967958886006514,2,1,1,0
45,female,86.1,166.3,moderate,maintain,7.4,0.0,4,3,2.75,0,3.51647287727136,2371,avg,-2,poor,1.663,31.132833785741738,1514.375,1.55,0,0.0,-2,0,0,2
42,male,61.2,164.0,moderate,maintain,6.1,52.8514188375504,4,3,1.8,5,4.0597583363434,2169,avg,3,good,1.64,22.754312908982754,1432.0,1.55,0,8.66416560219423,3,1,0,1
47,female,61.1,153.4,sedentary,maintain,7.6,64.10430675996562,4,0,1.55,2,1.0,1441,good,3,good,1.534,25.965129383687266,1173.75,1.2,0,8.434776095419675,3,0,1,1
25,female,95.5,169.9,active,lose,6.4,67.66103236729197,2,3,1.63,5,2.9971794699046543,2640,avg,3,good,1.699,33.08389347887013,1730.875,1.725,-1,10.572034655508954,3,0,0,1
38,female,81.7,158.4,moderate,gain,7.2,31.922435612046677,5,0,1.79,2,2.880964167470214,2471,avg,3,good,1.584,32.56204724007754,1456.0,1.55,1,4.433670996996622,3,0,0,1
33,male,41.4,169.7,moderate,lose,5.2,44.15194452028216,2,1,2.15,2,3.9867741725415504,1604,poor,2,avg,1.6969999999999998,14.375953405243198,1314.625,1.55,-1,8.490756928754852,2,1,2,0
30,female,63.2,189.0,light,lose,4.7,12.072141393838262,3,0,2.18,3,4.826807097227945,1725,poor,4,good,1.89,17.692673777329862,1502.25,1.375,-1,2.5685401755953374,4,0,2,1
35,female,48.3,165.4,active,maintain,6.6,30.6286959144165,5,0,1.61,1,3.442825942262414,2094,avg,2,avg,1.6540000000000001,17.65534141701843,1180.75,1.725,0,4.640710799046318,2,0,0,0
32,male,58.6,171.8,moderate,lose,7.4,25.89460434307478,2,4,2.35,0,2.882593891509126,1865,avg,-3,poor,1.7180000000000002,19.854149923903716,1504.75,1.55,-1,3.499270384297891,-3,1,0,2
38,male,32.3,178.2,light,lose,5.5,24.457030719006383,4,1,2.47,3,3.468509230015397,1396,poor,3,good,1.7819999999999998,10.171549640311332,1251.75,1.375,-1,4.4467320495044245,3,1,2,1
41,male,68.4,172.5,sedentary,lose,7.7,58.36641522812515,5,2,3.69,2,3.39974639587718,1541,good,1,avg,1.725,22.986767485822305,1562.125,1.2,-1,7.580052941308079,1,1,1,0
43,male,56.3,172.6,sedentary,lose,7.1,35.37373588746216,4,3,2.91,2,2.05103548515976,1347,avg,0,poor,1.726,18.898477245964855,1431.75,1.2,-1,4.982215620457259,0,1,0,2
42,female,70.7,166.7,sedentary,lose,7.8,72.32930734481737,5,5,2.35,5,2.7308693628844254,1339,good,1,avg,1.6669999999999998,25.441822253425745,1377.875,1.2,-1,9.272986932285953,1,0,1,0
45,female,50.5,167.9,very_active,lose,8.2,36.19939764442869,3,3,1.83,2,2.7210190994898937,1809,good,0,poor,1.679,17.91389341268892,1168.375,1.9,-1,4.414560149983969,0,0,1,2
45,female,71.0,161.4,light,maintain,8.7,84.7828145692294,2,3,0.75,2,1.639704436261384,1900,good,-1,poor,1.614,27.255320161720014,1332.75,1.375,0,9.745149979779246,-1,0,1,2
45,female,65.0,177.6,active,maintain,7.8,60.680250661419166,2,2,0.82,4,2.2767562776029595,2305,good,2,avg,1.776,20.60760084408733,1374.0,1.725,0,7.779518318192417,2,0,1,0
30,male,88.0,154.3,sedentary,maintain,6.6,27.82998508418828,3,4,2.52,4,1.359782090035765,2114,avg,1,avg,1.5430000000000001,36.961604872883576,1699.375,1.2,0,4.216663767806744,1,1,0,0
26,female,86.9,178.7,light,maintain,7.2,34.36493294418608,4,2,2.01,5,1.9226416313070769,2291,avg,4,good,1.787,27.21263969181138,1694.875,1.375,0,4.7729066904554704,4,0,0,1
46,female,79.4,157.4,very_active,lose,10.0,9.000334388367882,4,1,1.3,2,2.30929654483538,2234,good,1,avg,1.574,32.04874638543421,1386.75,1.9,-1,0.9000333488334534,1,0,1,0
32,female,66.1,178.7,sedentary,lose,8.3,34.00516943591059,5,3,1.88,4,2.5749821953885,1371,good,2,avg,1.787,20.69914250435825,1456.875,1.2,-1,4.097007872156953,2,0,1,0
30,female,93.8,166.8,moderate,gain,7.1,5.437023443433169,5,1,1.62,0,4.455617870928855,2871,avg,0,poor,1.6680000000000001,33.71403596547222,1669.5,1.55,1,0.7657778419232856,0,0,0,2
